,URL,H1,No. Duplicates,Duplicate URL,Paginated
159,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-banda-magda,No
160,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-carol-of-the-king-the-irish-dance-christmas-spectacular,No
161,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-catapult-the-amazing-magic-of-shadow-dance,No
162,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-christian-sands-trio,No
163,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-cirque-flip-fabrique-in-blizzard,No
164,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-cirque-mei-elite-circus-artists-and-acrobats-of-hebei-china,No
165,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-crys-matthews,No
166,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-crys-matthews-workshop-sing-dont-shout-an-alternative-approach,No
167,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-derek-brown-featuring-fsu-jazz-orchestra-and-faculty,No
168,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-ghost-note,No
169,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-jeff-coffin-and-roy-wooten,No
170,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-kaia-kater-with-anna-and-elizabeth,No
171,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-malamanya,No
172,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-maryland-symphony-orchestra-immortal-mozart-schuberts-fifth-symphony,No
173,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-maryland-symphony-orchestra-in-the-american-symphony,No
174,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-ren-marie-and-experiment-in-truth,No
175,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-russian-national-ballet-in-don-quixote,No
176,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-russian-national-ballet-in-giselle,No
177,,,,https://www.mdmountainside.com/ces-at-frostburg-state-university-presents-six-appeal,No
